pair_id,platform,dist_px_640,dist_px_native
DJI_20251207174843_00020019,A,4.123105625617661,4.123105625617661
DJI_20251207174843_00020019,A,4.123105625617661,4.123105625617661
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,3.1622776601683795,3.1622776601683795
DJI_20251207174843_00020019,A,3.1622776601683795,3.1622776601683795
DJI_20251207174843_00020019,A,3.1622776601683795,3.1622776601683795
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.8284271247461903,2.8284271247461903
DJI_20251207174843_00020019,A,3.1622776601683795,3.1622776601683795
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,3.605551275463989,3.605551275463989
DJI_20251207174843_00020019,A,4.47213595499958,4.47213595499958
DJI_20251207174843_00020019,A,5.385164807134504,5.385164807134504
DJI_20251207174843_00020019,A,5.385164807134504,5.385164807134504
DJI_20251207174843_00020019,A,5.0990195135927845,5.0990195135927845
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0990195135927845,5.0990195135927845
DJI_20251207174843_00020019,A,5.0990195135927845,5.0990195135927845
DJI_20251207174843_00020019,A,5.385164807134504,5.385164807134504
DJI_20251207174843_00020019,A,5.830951894845301,5.830951894845301
DJI_20251207174843_00020019,A,6.0,6.0
DJI_20251207174843_00020019,A,6.0,6.0
DJI_20251207174843_00020019,A,5.830951894845301,5.830951894845301
DJI_20251207174843_00020019,A,5.385164807134504,5.385164807134504
DJI_20251207174843_00020019,A,5.385164807134504,5.385164807134504
DJI_20251207174843_00020019,A,5.0990195135927845,5.0990195135927845
DJI_20251207174843_00020019,A,4.123105625617661,4.123105625617661
DJI_20251207174843_00020019,A,3.1622776601683795,3.1622776601683795
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,3.1622776601683795,3.1622776601683795
DJI_20251207174843_00020019,A,3.1622776601683795,3.1622776601683795
DJI_20251207174843_00020019,A,3.1622776601683795,3.1622776601683795
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,3.1622776601683795,3.1622776601683795
DJI_20251207174843_00020019,A,3.605551275463989,3.605551275463989
DJI_20251207174843_00020019,A,3.605551275463989,3.605551275463989
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,4.0,4.0
DJI_20251207174843_00020019,A,4.123105625617661,4.123105625617661
DJI_20251207174843_00020019,A,4.47213595499958,4.47213595499958
DJI_20251207174843_00020019,A,4.123105625617661,4.123105625617661
DJI_20251207174843_00020019,A,4.123105625617661,4.123105625617661
DJI_20251207174843_00020019,A,4.47213595499958,4.47213595499958
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,4.123105625617661,4.123105625617661
DJI_20251207174843_00020019,A,4.47213595499958,4.47213595499958
DJI_20251207174843_00020019,A,4.47213595499958,4.47213595499958
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.385164807134504,5.385164807134504
DJI_20251207174843_00020019,A,5.385164807134504,5.385164807134504
DJI_20251207174843_00020019,A,5.830951894845301,5.830951894845301
DJI_20251207174843_00020019,A,6.082762530298219,6.082762530298219
DJI_20251207174843_00020019,A,5.0990195135927845,5.0990195135927845
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,4.123105625617661,4.123105625617661
DJI_20251207174843_00020019,A,4.123105625617661,4.123105625617661
DJI_20251207174843_00020019,A,4.47213595499958,4.47213595499958
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,5.656854249492381,5.656854249492381
DJI_20251207174843_00020019,A,5.0,5.0
DJI_20251207174843_00020019,A,4.47213595499958,4.47213595499958
DJI_20251207174843_00020019,A,4.47213595499958,4.47213595499958
DJI_20251207174843_00020019,A,3.605551275463989,3.605551275463989
DJI_20251207174843_00020019,A,2.8284271247461903,2.8284271247461903
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.8284271247461903,2.8284271247461903
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,2.8284271247461903,2.8284271247461903
DJI_20251207174843_00020019,A,2.8284271247461903,2.8284271247461903
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,3.0,3.0
DJI_20251207174843_00020019,A,3.1622776601683795,3.1622776601683795
DJI_20251207174843_00020019,A,2.8284271247461903,2.8284271247461903
DJI_20251207174843_00020019,A,2.8284271247461903,2.8284271247461903
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,2.23606797749979,2.23606797749979
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.4142135623730951,1.4142135623730951
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,0.0,0.0
DJI_20251207174843_00020019,A,1.0,1.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
DJI_20251207174843_00020019,A,2.0,2.0
